22	16067264	16072679	2	2	0	0	1	26
22	16450891	16467320	2	2	0	0	1	16
22	17052684	17072005	2	2	0	0	1	29
22	28037499	28087492	1	1	0	0	1	20
22	28314777	28343433	1	1	0	0	1	25
22	31159853	31169050	1	1	0	0	1	31
22	31165149	31170421	2	2	0	0	1	19
22	31730225	31743587	1	1	0	0	1	19
22	36085491	36094807	1	1	0	1	0	23
22	38170134	38209749	1	1	0	1	0	24
22	41484962	41511325	2	2	0	0	1	14
22	41484962	41521925	2	2	0	0	1	14
22	41645237	41666512	1	1	0	0	1	14
22	41646239	41666512	1	1	0	0	1	14
22	41686578	41692371	1	1	0	0	1	21
22	41686578	41723492	1	1	0	0	1	21
22	42224241	42251972	1	1	0	0	1	27
22	50785294	50798654	1	1	1	2	0	17
22	50791304	50798654	1	1	0	1	0	30
